"iter","AGCmax","theta","sigma","lp__"
1,214.047891164851,0.0102846543959995,0.0921654814155274,-159.028099938381
2,189.136106913979,0.0118899462994903,0.113006313281008,-155.557528034588
3,191.189140007025,0.011608830194487,0.114856479040096,-155.999743374686
4,177.433060633597,0.0131649291997966,0.098004209524352,-156.528342155697
5,169.18542142578,0.0136728974591143,0.0996601965194309,-155.966745130383
6,180.407984205875,0.0127905133343181,0.0834316056521447,-158.224983987979
7,185.349960707229,0.0120325607018128,0.0959962817679801,-155.588395134184
8,185.131079023473,0.0123698691956549,0.0974437528521578,-155.540579342401
9,193.051479626389,0.0115110877587816,0.120508430697316,-156.567798200616
10,182.351547955904,0.0126056569049499,0.106050178708981,-155.443956086759
11,171.156600564767,0.013609012157236,0.111110168463678,-156.302983385142
12,194.146912046673,0.0116296160350712,0.098742238454337,-155.617340200322
13,173.649253771218,0.0131410483893174,0.118405962052495,-156.348449319017
14,184.497161243234,0.0120508319804703,0.090826914629331,-156.431420201876
15,197.712345248598,0.0115421863381944,0.0929546374852455,-157.249267866027
16,184.201656205026,0.0123416282737434,0.108687849242945,-155.237497512112
17,192.843699615268,0.0119239010350272,0.108452731146682,-156.415330687685
18,199.87349922406,0.0110018635850122,0.114741743959116,-156.782953178963
19,186.824507124522,0.0116828004596904,0.0929367525331183,-157.850202345188
20,189.332620554835,0.0120907531833986,0.099838798181489,-155.728013262211
21,182.004039144746,0.0125097951008996,0.0964002731234799,-155.29932354515
22,186.585261209611,0.0121691100610428,0.0939367244515002,-155.568992948397
23,185.24067069135,0.0120848150334206,0.113135599983698,-155.591750829713
24,182.544367815483,0.0123905184360276,0.0875275025965741,-156.436179366161
25,203.724006409217,0.0106640914970065,0.114605977920947,-157.747537862016
26,191.809081650908,0.0116219385269114,0.0949020698365636,-155.702710031949
27,166.721767604455,0.0139688827789828,0.104570215841142,-156.33612252439
28,183.506628358522,0.0127065076144114,0.123638162727612,-157.596856298034
29,186.495580959149,0.0121916943678571,0.0974414963372236,-155.321520412066
30,161.740170300949,0.0148649339707438,0.111073058799868,-158.984026376061
31,174.074568507903,0.0130752097948781,0.0918884075837446,-156.058999224956
32,185.906837760231,0.011866803885641,0.103924630414616,-155.943597075275
33,182.923161234221,0.0123564984151,0.102697848875815,-155.046171459948
34,195.436558156327,0.0116462333957845,0.0966498261286338,-156.27997093111
35,188.677706077143,0.0118157903132998,0.114169636632971,-155.769578344684
36,174.047365395162,0.0133444358232108,0.109991513038686,-156.017247125703
37,186.645585236031,0.0116471833644722,0.109575170998839,-157.337173334516
38,170.338384654603,0.0134903636876778,0.113647642093904,-156.203601905606
39,172.806070630388,0.0128309737604503,0.120750508256332,-157.855272087607
40,202.049095552286,0.0111658434657853,0.0904974320217167,-157.541712608806
41,187.064255522135,0.0119263631602108,0.0906196865204091,-156.160806904085
42,185.533681477048,0.0121665535879301,0.113023129843401,-155.472065863803
43,164.108693035719,0.0144570689042265,0.107865357991507,-157.620636049884
44,187.52712053941,0.0120466863007063,0.0915347640021723,-155.805039065608
45,182.089774575461,0.0125611809396754,0.109460648189322,-155.379330295929
46,184.663133280768,0.0121400965807417,0.117999519963512,-155.992627692392
47,183.015477010065,0.0122195267063969,0.106189348559857,-155.32976185929
48,168.778009462975,0.0134409842142852,0.11453243660467,-156.664815913732
49,182.035235750761,0.012106216447052,0.110314406326538,-156.43418280089
50,196.952698902856,0.011472606114068,0.0908706481060371,-156.747721797555
51,162.68018323998,0.0139314730613576,0.0915646038267646,-158.328641642565
52,168.944170388605,0.0134422872719255,0.0993813698114946,-156.155037986466
53,183.967812298542,0.0124045709535736,0.115065513373105,-155.739838297887
54,186.802720327472,0.0123383099694807,0.112924452881744,-156.145541501254
55,165.486523202044,0.0138023191388996,0.10915626213936,-156.626099866264
56,184.898976659208,0.0124561287858083,0.111794574856237,-155.902625346005
57,175.208220117953,0.0127909316215392,0.111658896097574,-156.109113243714
58,187.45565241495,0.0119915372372711,0.0935790624799273,-155.554595717311
59,177.916121558883,0.0125374032521118,0.104388351716419,-155.823566035329
60,185.044115415966,0.0122365641454399,0.120665151929558,-156.19880609352
61,182.652192573863,0.0123825863729774,0.0920844892357068,-155.669282695695
62,174.868773811242,0.0132809577732969,0.107850723355911,-155.910445401823
63,191.655726968676,0.0116340075102941,0.112774394045842,-155.727881726441
64,207.973565075757,0.0107742934844517,0.104307359859113,-157.349542442599
65,166.02887206934,0.0138635060329055,0.0930266599568826,-156.728482326778
66,168.764176325078,0.01383712160485,0.102598135088888,-156.306174459762
67,188.415402004513,0.0119486562089883,0.09737246579895,-155.260937587125
68,201.053398360847,0.0113209587630807,0.100161001624458,-156.991583695128
69,168.089966277933,0.0143292653054742,0.127996189469391,-160.266491790287
70,197.143763718639,0.0110299631481883,0.10767424759308,-156.985241251483
71,184.212754559814,0.0124930632164968,0.106296480215986,-155.596136651404
72,206.316959862154,0.0108011451227107,0.0934294263657881,-157.412768252067
73,184.472943242582,0.0123162763114061,0.123362066324295,-156.536147273212
74,179.245093608256,0.0128600621104357,0.11748197166035,-156.204963114578
75,173.64129233776,0.0133534428502281,0.0773546944483442,-160.795016834515
76,173.169303228939,0.0134801559873357,0.105784147434238,-156.171366998532
77,205.108443392248,0.01095965876986,0.114411877336987,-157.368336203802
78,166.869290349486,0.0139178274939763,0.105448501443172,-156.255837591299
79,190.030970009597,0.0120395551879912,0.114024816541256,-156.084343469805
80,194.303369093044,0.0115857171200147,0.10081083204302,-155.49671946162
81,180.735733428112,0.0127245300341785,0.109123252195374,-155.529476751844
82,168.534436611437,0.0134776687829832,0.103416979442774,-156.148033152354
83,185.736390071284,0.0119461337541236,0.115710975604842,-156.107184006349
84,183.885465411238,0.0123121455007784,0.101612485096899,-155.046224653997
85,182.577694722645,0.0124403835203554,0.0976825305585711,-155.187144839555
86,191.746494065341,0.0117809502987843,0.099651894322691,-155.381185567833
87,179.597345790959,0.0128070873104578,0.114190923981093,-155.84389675876
88,169.920353051189,0.0136959643710923,0.105240767997442,-156.094746359512
89,164.96038997188,0.0142765602077772,0.0818161288596179,-160.327539239045
90,182.566699033724,0.0125098721736217,0.114102707957424,-155.655102229253
91,192.16324043583,0.0111411768792875,0.109181027546327,-158.91632425593
92,176.839438387838,0.0130247123161461,0.0891330849567662,-156.568179254148
93,183.685991859798,0.0119516475642266,0.109254182086952,-156.580690306347
94,176.801053818563,0.012568635123165,0.117732781288249,-156.863301967226
95,192.80929317451,0.011251357440954,0.100194724372573,-157.419122807122
96,213.338799191537,0.0103397202791909,0.095659338663654,-158.477165369927
97,197.229787336432,0.0114214443241953,0.125120398357141,-157.405739771879
98,196.199946994837,0.0108948844918353,0.11717868630395,-159.144552476882
99,188.267518979942,0.0118985067690816,0.10900795099429,-155.320898820485
100,209.545206309244,0.0101360769170378,0.10297976475675,-160.486402465179
101,182.628958308505,0.012692876393135,0.0953529336973774,-156.408794061435
102,193.963712542426,0.0116038912708876,0.127405352712688,-157.386206408168
103,184.11116980168,0.0119594065339879,0.10619143130645,-156.226130310401
104,169.514050257548,0.013119315153738,0.119183071164195,-158.073643877075
105,188.135319116413,0.0124130966679334,0.101954296751091,-157.366660086314
106,209.837754402729,0.0106349233870369,0.108469630029708,-157.694685441703
107,171.030644216508,0.0133403080502988,0.106781849144039,-155.760039062571
108,170.12565139074,0.0133879541463511,0.117473937205408,-156.63649271272
109,171.57826298685,0.012815166811,0.0978338318604392,-158.797352891623
110,182.211598439537,0.0119831282436074,0.107027635779754,-157.266823122889
111,156.827788137907,0.0152009028868744,0.0904302436841676,-159.604477026984
112,187.037051140751,0.0124176745131908,0.107742588112068,-156.538668049043
113,187.446277824644,0.0119277360743856,0.0970415633141903,-155.376694042447
114,183.805472769391,0.0121370478355406,0.0926409805286024,-155.988853047374
115,178.630866653436,0.0126170396285564,0.100572741515084,-155.292355746042
116,180.831793043913,0.0127136726137727,0.104230683560545,-155.379579584686
117,175.273012689036,0.0127205697940405,0.104658094405024,-156.189155228832
118,158.922516046273,0.0146156506532105,0.115304662952382,-157.98769050833
119,180.04410722907,0.0125167798362561,0.119919114364492,-156.236755042737
120,189.130632534546,0.0114100217016337,0.113898854869292,-158.123602676527
121,196.674684565522,0.0113558804878239,0.112670818293582,-156.015703266958
122,177.557685002307,0.0132239584522021,0.128680758257256,-158.383751766984
123,197.824962415104,0.0111901869198181,0.111458205153357,-156.163368527811
124,182.168098016067,0.012725625227636,0.121044161494737,-156.887474303476
125,175.6655223662,0.0132494960194264,0.115971945853929,-156.507356546888
126,165.229021634974,0.0136251036729197,0.100537161352443,-157.408297176789
127,168.800748497097,0.0136690319324987,0.10833092953271,-156.046468742047
128,188.513131843399,0.0114989004269026,0.127228468547654,-158.718910407325
129,179.474993885936,0.0123206991876426,0.0925062000787858,-157.180311795861
130,186.688348750393,0.0123309006406962,0.0870887606447902,-157.55600587147
131,169.041560420993,0.0138818230901716,0.126062516080328,-158.162205726938
132,182.842698914249,0.0121786855514086,0.102840765676803,-155.508099102518
133,182.885635023061,0.0127761789643712,0.126156461746965,-157.979011435153
134,188.432314148251,0.0120767561146641,0.0964693077965916,-155.531828261848
135,184.481648049114,0.0117945784457786,0.120476501952673,-157.989603482473
136,194.936515698889,0.0113195861090644,0.109071883760285,-155.980259732216
137,169.651296143292,0.0132004562284063,0.0993861601525232,-156.928857878264
138,171.160108043163,0.0136290396897119,0.0997789338161733,-156.22314321065
139,186.56235544072,0.0119492925694034,0.094366600105533,-155.722027949174
140,192.603290413189,0.0117233545733586,0.0888624015785556,-156.56492097801
141,176.823909520699,0.0129126946555774,0.104883452938208,-155.254883058215
142,175.063538442095,0.012919998392713,0.0932186554411795,-155.96188696477
143,202.480930642265,0.0109439188195765,0.0892084504526838,-157.460930758459
144,188.343901632242,0.0116597736534828,0.105583310054834,-156.191037530008
145,202.412132375016,0.0108652965150667,0.105355797980243,-156.54758460157
146,173.848621797448,0.0130008228572631,0.0954451473296044,-155.905668710034
147,198.53102686071,0.0114980735497725,0.109913796040017,-156.771684983866
148,168.394828471553,0.0138308115038793,0.111740378935954,-156.496921312688
149,177.316758357264,0.0131609296447304,0.101588005734823,-156.252094470981
150,218.309301531429,0.0100271133131314,0.0853516649490252,-161.449233150361
151,177.906039922827,0.0125870576798437,0.106217780487405,-155.626639912721
152,160.339334230231,0.014216065413468,0.0945550670569401,-158.118994286933
153,169.336271488403,0.0137757977483951,0.0905980906356738,-157.160924457584
154,193.07506023438,0.0113923585264308,0.091969535102,-156.822247172782
155,205.458061088961,0.0107830084816887,0.0990974119304548,-156.81375994135
156,170.107815056237,0.013713164943755,0.0886445855311369,-157.497706676631
157,190.498998526826,0.0120277325047187,0.102853273004881,-155.829173964409
158,183.532777017989,0.0123847335977447,0.126664647617496,-156.951648316294
159,167.008006224011,0.0137621469618138,0.0991374271408444,-156.160530636472
160,179.399367811846,0.0126871557178497,0.106273271225071,-155.177058228769
161,175.19575380234,0.0129738515014483,0.105899645310119,-155.388567773167
162,180.831405647176,0.0126517139808151,0.121829714018046,-156.447872246064
163,189.841082227885,0.0119908125498427,0.099091002534565,-155.504310268015
164,184.249287685678,0.0122216476521725,0.10456350016207,-155.081921753731
165,184.459568742142,0.0126481644037101,0.0965769482251479,-157.161299162756
166,152.582033397509,0.0154769116394202,0.104232395119448,-158.800689569071
167,160.211580709809,0.0143885952134418,0.0884758317502476,-158.452219212987
168,203.169577980382,0.0108064365727754,0.131606844036176,-159.079263099387
169,192.913818791279,0.0119475456872135,0.109387989234803,-156.638903093629
170,207.987317561419,0.0110323276343517,0.103727972250199,-159.233398467277
171,172.256317084843,0.0132575217131644,0.0939225839449825,-155.950935687172
172,189.690182605616,0.011955879361636,0.115374602986506,-155.860782953106
173,189.623504979992,0.0117307643552261,0.093043339428942,-155.941030664061
174,198.975045461602,0.0113373534148173,0.106449110270926,-156.107761308678
175,197.555437798907,0.0114655235367644,0.11057409685696,-156.239027219819
176,168.897443887781,0.0135358357963823,0.111053871291856,-156.201898376038
177,174.844287889198,0.0130811406898256,0.0908714092565343,-156.129580182951
178,198.079845481809,0.011397275139057,0.101525609532046,-155.990128954632
179,198.320368833538,0.0113221629194051,0.10952873454501,-156.024793535716
180,198.06159725512,0.0114801741846803,0.102814950339859,-156.330705255849
181,183.973383031646,0.0122273905809571,0.0933042597236384,-155.573772062645
182,197.776567000224,0.0112847907999403,0.100271363365996,-155.77696798015
183,162.183489930921,0.0139960611468138,0.103438634955898,-157.465922527176
184,182.268298322317,0.0126811083502835,0.103921868685208,-155.729582412307
185,188.268249829734,0.0123634719919742,0.109920542480673,-156.935942486666
186,202.712900163057,0.0111001360836568,0.086687306519433,-158.289030543957
187,172.206582090418,0.0138723995323656,0.111629416780471,-158.406887526215
188,200.149106392959,0.0111611742285105,0.100395022844115,-156.039282626337
189,193.639931428955,0.0116897599781448,0.109048621451075,-155.693249736117
190,174.828392450132,0.013394693126931,0.124100853487923,-157.652171417884
191,171.161339845941,0.0132700711316528,0.0917131481113124,-156.463693632257
192,156.960455390846,0.0150908178781457,0.114336039786494,-158.579079563931
193,190.841830775057,0.0120806174587446,0.0946096594450172,-156.911116983296
194,181.828460208749,0.0126810086508939,0.103168657884329,-155.559342740347
195,178.499801052428,0.0128611604403821,0.102105902935359,-155.303394260347
196,184.857807279335,0.0119678480131902,0.0942921673263571,-156.320962704649
197,185.360737332246,0.0120875291619431,0.111340649534865,-155.444283308693
198,177.515499613553,0.0127260930102773,0.106449558385904,-155.341453147844
199,195.459854118313,0.0113772250055507,0.125106632626102,-157.230343283049
200,183.253827327386,0.0126015238945305,0.104013523730248,-155.726620036229
201,181.666913039602,0.0122258577402952,0.0984550750758739,-155.903785757961
202,177.839981472058,0.0125574337389344,0.105691432162936,-155.772607075827
203,178.83074853273,0.012830657537946,0.1071242621681,-155.357527173366
204,174.489738681588,0.0128600584354954,0.112309823595077,-156.172224794822
205,150.251150263735,0.0159431873864473,0.115411758420452,-160.25954326373
206,169.139400010622,0.0134097111020008,0.0916048299287796,-156.852486123253
207,196.968766711212,0.0115594372201812,0.0990857889445665,-156.368966502197
208,176.002591305992,0.0131579122312816,0.107074605288976,-155.733286023456
209,185.187465429905,0.0123037453843997,0.100113468131399,-155.213358479942
210,180.786857146809,0.0127202480785016,0.0946395225740801,-155.786359509582
211,175.672795694558,0.0130990562313107,0.0946032499903603,-155.787212895571
212,209.470794323856,0.0108658212558388,0.111486316178356,-158.832086604283
213,183.961638154689,0.0120160048611118,0.108064492954635,-155.968986036349
214,188.76332755419,0.0119765243829831,0.111664878342906,-155.47238562591
215,186.658075868568,0.0122702689839818,0.106976575751646,-155.511908465608
216,186.876238489587,0.011971631050877,0.0847080166440722,-157.309432858177
217,173.324061656741,0.0133357161473736,0.126537635893276,-157.464611618466
218,180.136601792147,0.0128582449215234,0.110869216217309,-155.954664610948
219,200.697582468824,0.0113034555556719,0.0990922154160536,-156.736828502496
220,195.146489858195,0.0114857925172593,0.114269775706037,-156.007667156432
221,192.080410941219,0.0115856153886976,0.107767409665379,-155.508361937713
222,184.604248404301,0.0121132119885963,0.113902019341797,-155.692887677155
223,199.203744421578,0.0112791809338559,0.0920513885651959,-156.663271501752
224,170.918647959707,0.0134923550647857,0.0976327988071413,-155.84768836324
225,190.071569567108,0.0115589007182675,0.116721850995133,-156.639702197602
226,196.096886983505,0.0112734742183715,0.100250790303945,-155.872686650973
227,197.125057977334,0.0111599551335735,0.097632041837213,-156.305695493618
228,175.575614721502,0.0133335942795471,0.111905618429852,-156.595211755892
229,183.962837790338,0.0123554995324897,0.109933662823229,-155.295645247195
230,193.506186546657,0.0113719633726238,0.0952967579951077,-156.375922590762
231,174.976792316443,0.0132738612050792,0.106296250057216,-155.86956532263
232,171.235274815704,0.012808654274364,0.110489267760134,-158.671456759459
233,201.805064843314,0.0113246112718468,0.110432902353113,-157.453247784537
234,157.391964177634,0.0149068832252647,0.101952092756892,-157.739213347657
235,193.350282827669,0.0115278858581349,0.0958168253230863,-155.693008567024
236,179.311211072134,0.0125925816404935,0.0955979801388414,-155.445297972822
237,177.063570176669,0.0127890089119268,0.104803388949748,-155.282304360166
238,206.81708880007,0.0111361644663349,0.0999937992720223,-159.626074267295
239,170.781114346051,0.0130369620589469,0.125249330109574,-158.368496565666
240,174.843104322416,0.0134209873832228,0.105293162157804,-156.582280783232
241,194.169499901725,0.0113094734369185,0.0854351459684773,-158.357090245362
242,195.497578028416,0.0114977808498119,0.108247703962137,-155.681560106947
243,186.626580734078,0.0122110093766059,0.105588714770348,-155.271823956466
244,156.678598482843,0.0147087592452636,0.10748813206223,-158.14821161617
245,186.260664874378,0.011850685845517,0.0980162234773007,-156.086086917806
246,176.349887594427,0.0128930942504412,0.118010390268379,-156.132331919139
247,194.076680311637,0.0113666339783354,0.110660447143303,-156.038672426674
248,149.013601261371,0.0163423764117132,0.11061143685423,-161.189811676231
249,184.403808935807,0.0119238169440098,0.104599652253518,-156.323744885345
250,183.170628259532,0.0122594590129806,0.101144454909461,-155.158630111692
